Categoria;Subcategoria;Producto;configuraciones;Codigo ;Descripcion;Enlace de la pagina
Luminarias;Luminaria;M-72-00 12V;12-24v;5LU7200xxV;LUMINARIA MEDIA CAÑA  72 LED 100 CM;https://www.solutronic.com.ar/producto/led-media-cana/
Luminarias;Luminaria;MH-30-SMD;-;3MH30BIVBN;LUMINARIA MOTORHOME 12/24V 30 CM;https://www.solutronic.com.ar/producto/motorhome/
Luminarias;Luminaria;MH-50-SMD;-;3MH50BIVBN;LUMINARIA MOTORHOME 12/24V 50 CM;https://www.solutronic.com.ar/producto/motorhome/
Luminarias;Portatil;Portatil Placa;-;1POPLACABF;PORTÁTIL 18 LED SMD PLACA REMPLAZO;https://www.solutronic.com.ar/producto/portatil-a-led-bivoltaje-12v-24v/
Luminarias;Portatil;Portatil s/C;-;1POSINCABF;PORTÁTIL 18 LED SMD SIN CABLE;https://www.solutronic.com.ar/producto/portatil-a-led-bivoltaje-12v-24v/
Luminarias;Portatil;Portatil xM;5Mts - 12 Mts.;1POXMTSBF;PORTÁTIL 18 LED SMD CON CABLE DE X MTS;https://www.solutronic.com.ar/producto/portatil-a-led-bivoltaje-12v-24v/
Luminarias;Reflectores;R45-12 P;12V -24V;3RE45XP;REFLECTOR 45 LED  LED  BLANCO FRÍO;https://www.solutronic.com.ar/producto/reflector-de-45-o-90-leds/
Luminarias;Reflectores;R90-12 P;12V -24V;3RE90XP;REFLECTOR 90 LED  LED BLANCO FRÍO;https://www.solutronic.com.ar/producto/reflector-de-45-o-90-leds/
Luminarias;Reflectores;R144-12 P;12V -24V;3RE144XP;REFLECTOR 144 LED LED BLANCO FRÍO;https://www.solutronic.com.ar/producto/reflector-de-144-leds/
Atoelevadores;Balizas;BIFA;-;5BAFINTA;BALIZA INTERMITENTE FIJA ÁMBAR 12/24V   (en faro B1820);https://www.solutronic.com.ar/producto/baliza-bivoltaje/
Atoelevadores;Balizas;BIMA;-;5BAMINTA;BALIZA INTERMITENTE MAGNÉTICA ÁMBAR 12/24V   (en faro B1820);https://www.solutronic.com.ar/producto/baliza-bivoltaje/
Atoelevadores;Balizas;B24FA;-;5B24FA;BALIZA INTERMITENTE FIJA ÁMBAR 12/24V ;-
Atoelevadores;Balizas;B24MA;-;5B24MA;BALIZA INTERMITENTE MAGNÉTICA ÁMBAR 12/24V ;-
Atoelevadores;Balizas;B90FMV;-;5BMFA;BALIZA INTERMITENTE FIJA 12V a 90V ÁMBAR;https://www.solutronic.com.ar/producto/baliza-multivoltaje/
Atoelevadores;Balizas;Bal Auto;-;5BAUTOMA;BALIZA INTERMITENTE MAGNÉTICA ÁMBAR AUTÓNOMA;https://www.solutronic.com.ar/producto/baliza-autonoma/
Atoelevadores;Seguridad;Inalámbrico Pesados;-;1FAINALP;FARO INALÁMBRICO TIPO B1110 SIN CABLES sin luz de retroceso;https://www.solutronic.com.ar/producto/faro-inalambrico/
Atoelevadores;Seguridad;Inalámbrico Livianos;-;1FAINALL;FARO INALÁMBRICO TIPO 703 SIN CABLES con luz de retroceso;https://www.solutronic.com.ar/producto/faro-inalambrico-l/
Atoelevadores;Seguridad;Faro Autoelevador 703;-;1FAE703;FARO TRASERO PARA AUTOELEVADORES 12V A 60V ;https://www.solutronic.com.ar/producto/ae703/
Atoelevadores;Seguridad;Faro Carretones / Ambulancias;-;;FARO TIPO 4000 INTERMITENTE -VERDE ó ÁMBAR- 12V ó 24V;-
Atoelevadores;Seguridad;AE16 BF;-;1LAE16BF;LÁMPARA ELECTRÓNICA 48 Vcc BLANCO FRÍO PORTALÁMPARA T10;-
Energias Alternativas;iluminacion;E27;-;6E171224BF;LÁMPARA ELECTRÓNICA ZÓCALO E27 12/24V BLANCO 9W;-
Energias Alternativas;reguladores;RC-3A;-;3RC3ASOLR;REGULADOR DE CARGA SOLUTRONIC 3A;-
Energias Alternativas;reguladores;RC-5A;-;3RC5ASOLAR;REGULADOR DE CARGA SOLUTRONIC 5A CON FOTOCONTROL;-
Energias Alternativas;reguladores;RC-10A;-;3RC10ASOLA;REGULADOR DE CARGA SOLUTRONIC 10A;-
Energias Alternativas;reguladores;RC-15A;-;3RE15ASOLA;REGULADOR DE CARGA SOLUTRONIC 15A;-
Energias Alternativas;reguladores;RC-5A-EP;-;4RC5EP;REGULADOR DE CARGA 5A EP-SOLAR;-
Energias Alternativas;reguladores;RC-30A-EP-D;-;4RC30EPD;REGULADOR DE CARGA 30A EP-SOLAR CON DISPLAY;-
Energias Alternativas;reguladores;Steca 30A;-;4RC30ASTEC;REGULADOR DE CARGA STECA 30A;-
Energias Alternativas;reguladores;RC-45A-EP-M;-;4RC45EPM;REGULADOR DE CARGA 45A EP-SOLAR MPPT;-
Energias Alternativas;Solar;Voltímetro Solar 12V;-;3VOSOL12V;VOLTÍMETRO PARA INSTALACION SOLAR 12V;-
Energias Alternativas;Solar;Voltímetro Solar 24V;-;3VOSOL24V;VOLTÍMETRO PARA INSTALACIÓN SOLAR 24V;-
Energias Alternativas;Solar;Protector Descargas;-;3PRDES;PROTECTOR DE DESCARGAS ATMOSFERICAS PARA INSTALACIÓN SOLAR;-
Energias Alternativas;Solar;Sen. Mov. 12/24 V;-;3SE12MOV;SENSOR DE MOVIMIENTO BIVOLTAJE 12/24 V;-
Energias Alternativas;Solar;Timer 12V;-;3TIMER12V;TIMER DIGITAL 12V;-
Energias Alternativas;Solar;Timer 24V;-;3TIMER24V;TIMER DIGITAL 24V;-
Energias Alternativas;Solar;Fotocontrol Inteligente;-;3FOTOINT;FOTOCONTROL INTELIGENTE SOLUTRONIC;-
Energias Alternativas;Solar;Conv. Multitensión;-;3COMULUSB;CONVERSOR MULTITENSIÓN 12/24V CON USB;-
Energias Alternativas;Solar;Int. Atenuador;-;3INATEN;INTERRUPTOR ATENUADOR PARA INSTALACIÓN 12V;-
Energias Alternativas;Solar;Caja Multi.;-;3CAJAMULTI;CAJA MULTIFUNCIÓN 12V ATENUADOR DE LUZ + VOLTÍMETRO;-
Energias Alternativas;Solar;Toma 12/24;-;3TOMA;TOMA TIPO ENCENDEDOR AUTOMOTOR PARA INSTALACIÓN SOLAR;-
